model,album,precision,recall,f1-score,support
k-NN,1989,0.7076260393261335,0.7887423687423688,0.735611373199031,15.4
k-NN,Fearless,0.5588888888888889,0.5113247863247864,0.5276769124595211,12.6
k-NN,Live From Clear Channel Stripped 2008,0.5,0.27777777777777773,0.3333333333333333,2.6666666666666665
k-NN,Lover,0.15,0.25,0.18333333333333332,3.4
k-NN,Midnights,0.8947474747474746,0.9092063492063491,0.901109286626528,11.4
k-NN,Red,0.5817618913594146,0.627143728304719,0.5989339204856445,13.4
k-NN,Speak Now,0.6535897435897435,0.6023351648351649,0.6249650608938706,14.6
k-NN,Taylor Swift,0.05,0.25,0.08333333333333334,2.5
k-NN,accuracy,0.5966981132075472,0.5966981132075472,0.5966981132075472,0.5966981132075472
k-NN,evermore,0.7114285714285714,0.680952380952381,0.6883747831116251,6.4
k-NN,folklore,0.6287289181406829,0.8417316017316017,0.7110151802656547,11.8
k-NN,macro avg,0.5201579324524845,0.5492205741454967,0.5186444241400471,106.0
k-NN,micro avg,0.6285714285714286,0.6226415094339622,0.6255924170616113,106.0
k-NN,reputation,0.17910256410256412,0.15526695526695528,0.16373626373626374,13.4
k-NN,weighted avg,0.5841193543835853,0.6018867924528302,0.5836781566741196,106.0
Naive Bayes,1989,0.16565656565656567,0.11432748538011694,0.12592386114337334,15.0
Naive Bayes,Fearless,0.24952380952380954,0.14673520923520925,0.18183694530443756,12.4
Naive Bayes,Live From Clear Channel Stripped 2008,0.0,0.0,0.0,1.4
Naive Bayes,Lover,0.06666666666666667,0.03333333333333333,0.04444444444444444,3.4
Naive Bayes,Midnights,0.38571428571428573,0.3105466428995841,0.32324254692675747,13.4
Naive Bayes,Red,0.2642009743520714,0.5077344877344878,0.3382785382785383,13.4
Naive Bayes,Speak Now,0.49988344988344996,0.3592032967032967,0.40413986013986014,14.0
Naive Bayes,Taylor Swift,0.0,0.0,0.0,3.2
Naive Bayes,accuracy,0.29056603773584905,0.29056603773584905,0.29056603773584905,0.29056603773584905
Naive Bayes,evermore,0.5028860028860029,0.5633766233766233,0.5047619047619047,6.8
Naive Bayes,folklore,0.37716718266253874,0.554945054945055,0.4343784070920503,11.6
Naive Bayes,macro avg,0.23885498807643596,0.2468365576007006,0.22417909941141273,106.0
Naive Bayes,reputation,0.11570593149540517,0.125,0.10896358543417366,11.4
Naive Bayes,weighted avg,0.30127386665438716,0.29056603773584905,0.27196922289126885,106.0
Decision Tree,1989,0.2657436307856476,0.6647084623323013,0.37892738203595205,15.8
Decision Tree,Fearless,0.0,0.0,0.0,10.2
Decision Tree,Live From Clear Channel Stripped 2008,0.0,0.0,0.0,2.5
Decision Tree,Lover,0.0,0.0,0.0,4.6
Decision Tree,Midnights,0.037037037037037035,0.125,0.05714285714285714,9.8
Decision Tree,Red,0.0,0.0,0.0,15.6
Decision Tree,Speak Now,0.3457759103641457,0.6146794871794872,0.44075726075726074,14.4
Decision Tree,Taylor Swift,0.0,0.0,0.0,2.8
Decision Tree,accuracy,0.2792452830188679,0.2792452830188679,0.2792452830188679,0.2792452830188679
Decision Tree,evermore,0.0,0.0,0.0,7.8
Decision Tree,folklore,0.3164013660757847,0.8337815126050421,0.4005869253874733,11.6
Decision Tree,macro avg,0.0893819641239472,0.20751141840615522,0.11843774326942653,106.0
Decision Tree,reputation,0.0,0.0,0.0,11.4
Decision Tree,weighted avg,0.12897338665271674,0.2792452830188679,0.16705995455954734,106.0
Random Forest,1989,0.5454545454545454,0.8,0.6486486486486486,15.0
Random Forest,Fearless,0.5,0.2857142857142857,0.36363636363636365,14.0
Random Forest,Live From Clear Channel Stripped 2008,0.0,0.0,0.0,0.0
Random Forest,Lover,0.0,0.0,0.0,5.0
Random Forest,Midnights,0.7142857142857143,0.5,0.588235294117647,10.0
Random Forest,Red,0.3333333333333333,0.5,0.4,10.0
Random Forest,Speak Now,0.5,0.7272727272727273,0.5925925925925926,11.0
Random Forest,Taylor Swift,0.0,0.0,0.0,4.0
Random Forest,evermore,1.0,0.8333333333333334,0.9090909090909091,6.0
Random Forest,folklore,0.6666666666666666,1.0,0.8,14.0
Random Forest,reputation,0.09090909090909091,0.058823529411764705,0.07142857142857142,17.0
Random Forest,micro avg,0.5094339622641509,0.5094339622641509,0.5094339622641509,106.0
Random Forest,macro avg,0.3955135773317592,0.42774035233928276,0.3976029435922484,106.0
Random Forest,weighted avg,0.4531773258188352,0.5094339622641509,0.46311642876570736,106.0
