model,album,precision,recall,f1-score,support
k-NN,1989,0.6913124156545208,0.7502470078940667,0.7115468409586057,14.4
k-NN,Fearless,0.48307692307692307,0.5135746606334841,0.49209243845399453,12.2
k-NN,Live From Clear Channel Stripped 2008,0.1,0.1,0.1,1.6
k-NN,Lover,0.25,0.2019047619047619,0.2077922077922078,4.2
k-NN,Midnights,0.7138461538461539,0.8205128205128205,0.7567770103993015,9.2
k-NN,Red,0.5983504215083162,0.6348389355742297,0.6046868066222906,15.2
k-NN,Speak Now,0.7613858363858365,0.634957264957265,0.6678656750056344,11.2
k-NN,Taylor Swift,0.0,0.0,0.0,3.4
k-NN,accuracy,0.5792452830188679,0.5792452830188679,0.5792452830188679,0.5792452830188679
k-NN,evermore,0.7847402597402597,0.7711111111111111,0.7582905982905983,7.2
k-NN,folklore,0.71849376114082,0.781962481962482,0.7462427227944468,15.2
k-NN,macro avg,0.4758722842813752,0.48544045229874105,0.470014729562255,106.0
k-NN,reputation,0.1333893557422969,0.13073593073593073,0.12486772486772486,12.2
k-NN,weighted avg,0.5716679302501342,0.5792452830188679,0.564267536361058,106.0
Naive Bayes,1989,0.4046031746031746,0.22691558441558443,0.2792694903402707,15.6
Naive Bayes,Fearless,0.1734725800515274,0.20064102564102565,0.18417391304347824,11.4
Naive Bayes,Live From Clear Channel Stripped 2008,0.0,0.0,0.0,1.5
Naive Bayes,Lover,0.2,0.04,0.06666666666666668,4.0
Naive Bayes,Midnights,0.4111111111111111,0.2804945054945055,0.31857866591612727,11.2
Naive Bayes,Red,0.21624932696190605,0.4307575757575758,0.27633176347462063,13.0
Naive Bayes,Speak Now,0.38897435897435895,0.3083333333333333,0.32953501400560226,12.8
Naive Bayes,Taylor Swift,0.0,0.0,0.0,3.0
Naive Bayes,accuracy,0.3,0.3,0.3,0.3
Naive Bayes,evermore,0.558755980861244,0.6392857142857142,0.5641317288376111,7.0
Naive Bayes,folklore,0.33182417582417584,0.5208212839791788,0.39040269534387184,14.2
Naive Bayes,macro avg,0.2696169142572641,0.2579966644201094,0.23637851623998224,106.0
Naive Bayes,reputation,0.22476190476190477,0.1413095238095238,0.145452847805789,12.6
Naive Bayes,weighted avg,0.323556603654758,0.3,0.28040172534201224,106.0
Decision Tree,1989,0.19463203463203463,0.35762820512820515,0.2391273626567744,15.6
Decision Tree,Fearless,0.02857142857142857,0.03333333333333333,0.030769230769230764,11.6
Decision Tree,Live From Clear Channel Stripped 2008,0.0,0.0,0.0,1.8
Decision Tree,Lover,0.0,0.0,0.0,3.4
Decision Tree,Midnights,0.3593797506840985,0.41646825396825393,0.3561461805338678,12.6
Decision Tree,Red,0.15564102564102564,0.2724556489262372,0.17049114331723028,13.8
Decision Tree,Speak Now,0.28961462450592884,0.4875477463712758,0.35962273021096547,13.2
Decision Tree,Taylor Swift,0.0,0.0,0.0,3.2
Decision Tree,accuracy,0.2981132075471698,0.2981132075471698,0.2981132075471698,0.2981132075471698
Decision Tree,evermore,0.0,0.0,0.0,6.0
Decision Tree,folklore,0.3877449229536344,0.8011286958655379,0.5208763026699381,13.2
Decision Tree,macro avg,0.12868943518074097,0.21532380759934938,0.15245754092345518,106.0
Decision Tree,reputation,0.0,0.0,0.0,11.6
Decision Tree,weighted avg,0.18279742671890442,0.2981132075471698,0.2144156924877858,106.0
Random Forest,1989,0.6,0.8,0.6857142857142857,15.0
Random Forest,Fearless,0.5,0.2857142857142857,0.36363636363636365,14.0
Random Forest,Live From Clear Channel Stripped 2008,0.0,0.0,0.0,0.0
Random Forest,Lover,0.0,0.0,0.0,5.0
Random Forest,Midnights,0.5555555555555556,0.5,0.5263157894736842,10.0
Random Forest,Red,0.45454545454545453,0.5,0.47619047619047616,10.0
Random Forest,Speak Now,0.4444444444444444,0.7272727272727273,0.5517241379310345,11.0
Random Forest,Taylor Swift,0.0,0.0,0.0,4.0
Random Forest,evermore,1.0,0.8333333333333334,0.9090909090909091,6.0
Random Forest,folklore,0.6666666666666666,1.0,0.8,14.0
Random Forest,reputation,0.16666666666666666,0.11764705882352941,0.13793103448275862,17.0
Random Forest,micro avg,0.5188679245283019,0.5188679245283019,0.5188679245283019,106.0
Random Forest,macro avg,0.3988980716253444,0.4330879459221704,0.40460027241086477,106.0
Random Forest,weighted avg,0.4637411854392986,0.5188679245283019,0.47613230746470486,106.0
